ID_Poliza,Fecha_Inicio,Fecha_Fin,ID_Cobertura,ID_Region,Tipo_Vehiculo,Uso_Vehiculo,Valor_Vehiculo,Prima_Emitida,Edad_Asegurado,Sexo,Estado
POL00001,2022-05-28,2023-05-28,COB03,REG02,Compacto,Particular,263000.0,4555.38,23,M,Vencida
POL00002,2023-02-03,2024-02-03,COB01,REG05,Camioneta,Particular,290000.0,14227.57,43,F,Vencida
POL00003,2023-05-10,2024-05-09,COB03,REG02,Pickup,Comercial,309000.0,5047.56,62,M,Vencida
POL00004,2022-02-25,2023-02-25,COB02,REG05,SUV,Particular,239000.0,10220.12,44,M,Vencida
POL00005,2023-07-15,2024-07-14,COB01,REG04,Compacto,Particular,262000.0,10474.42,65,F,Vencida
POL00006,2022-12-11,2023-06-09,COB01,REG01,Compacto,Particular,207000.0,15569.38,58,M,Vencida
POL00007,2023-02-24,2024-02-24,COB02,REG02,Camioneta,Particular,332000.0,11027.88,54,M,Vencida
POL00008,2023-08-23,2024-08-22,COB01,REG02,Compacto,Particular,265000.0,13903.09,21,M,Vencida
POL00009,2022-09-02,2023-09-02,COB02,REG02,Compacto,Particular,155000.0,8658.86,19,M,Vencida
POL00010,2022-06-24,2023-06-24,COB01,REG03,SUV,Particular,127000.0,15691.6,35,M,Vencida
POL00011,2022-07-12,2023-01-08,COB04,REG03,Sedán,Comercial,172000.0,5299.57,62,M,Vencida
POL00012,2023-02-04,2024-02-04,COB02,REG01,SUV,Particular,257000.0,13974.04,28,M,Vencida
POL00013,2023-07-29,2024-07-28,COB02,REG03,Sedán,Particular,349000.0,8488.11,20,M,Vencida
POL00014,2023-03-24,2024-03-23,COB01,REG05,Camioneta,Particular,139000.0,15251.69,51,F,Vencida
POL00015,2023-01-31,2023-07-01,COB02,REG02,Pickup,Particular,181000.0,10926.02,44,M,Cancelada
POL00016,2023-08-27,2024-08-26,COB03,REG01,Camioneta,Particular,245000.0,6703.69,71,M,Vencida
POL00017,2023-07-16,2024-07-15,COB01,REG01,Camioneta,Particular,350000.0,19536.19,29,M,Vencida
POL00018,2023-11-27,2024-11-26,COB01,REG05,Sedán,Particular,150000.0,14133.49,23,F,Vencida
POL00019,2023-07-01,2024-06-30,COB02,REG02,Compacto,Particular,297000.0,9056.0,39,F,Vencida
POL00020,2022-07-11,2023-07-11,COB01,REG04,Sedán,Particular,161000.0,11946.11,74,F,Vencida
POL00021,2023-07-22,2024-07-21,COB01,REG01,Sedán,Particular,110000.0,17517.72,70,F,Vencida
POL00022,2023-05-22,2024-05-21,COB03,REG03,Compacto,Particular,304000.0,3895.11,73,M,Vencida
POL00023,2022-08-08,2023-08-08,COB04,REG01,Pickup,Particular,268000.0,7085.64,59,M,Vencida
POL00024,2022-04-13,2022-10-10,COB02,REG05,Compacto,Particular,284000.0,7053.47,34,F,Vencida
POL00025,2023-08-29,2024-08-28,COB02,REG03,Compacto,Particular,176000.0,8112.53,72,M,Vencida
POL00026,2023-09-26,2024-09-25,COB01,REG03,Compacto,Particular,216000.0,11622.54,28,M,Vencida
POL00027,2023-08-26,2024-08-25,COB04,REG01,Sedán,Particular,227000.0,6385.93,29,M,Vencida
POL00028,2022-05-08,2023-05-08,COB02,REG02,SUV,Particular,187000.0,11012.24,46,M,Vencida
POL00029,2022-05-13,2023-05-13,COB02,REG02,Sedán,Particular,160000.0,10428.2,24,F,Vencida
POL00030,2022-02-07,2022-08-06,COB03,REG05,Pickup,Particular,255000.0,4912.42,60,M,Vencida
